"mpirun -np 2 -ppn=2 -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1 PingPong","","","","",""
"ct1p1-tnode007","ct1p1-tnode008","","","",""
"0.78097090191078","6371.69661026914","","","",""
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec] (computed)","Mbytes/sec (computed)"
"0","1000","0.42","0","0.78097090191078","1370.33129943728"
"1","1000","0.43","2.33","0.781070854664735","1370.37047324934"
"2","1000","0.43","4.62","0.781170807778107","1370.40964694381"
"4","1000","0.43","9.37","0.781370715083097","1370.48799397997"
"8","1000","0.43","18.73","0.781770534006032","1370.64468664125"
"16","1000","0.43","37.23","0.782570189103477","1370.95806631958"
"32","1000","0.47","68.4","0.784169568302707","1371.5848030997"
"64","1000","0.47","137.1","0.787368602702835","1372.8381863561"
"128","1000","0.57","225.15","0.793767775384247","1375.34459167248"
"256","1000","0.61","417.81","0.806570535267672","1380.35595767092"
"512","1000","0.84","611.53","0.832193705086226","1390.37291234182"
"1024","1000","0.91","1128.31","0.883510580708492","1410.38372206796"
"2048","1000","1.07","1911.07","0.986425962502862","1450.31302054448"
"4096","1000","1.52","2703.47","1.19337914728275","1529.8029531655"
"8192","1000","2.02","4049.71","1.61174249133364","1687.3131124802"
"16384","1000","3.27","5003.92","2.4660369568117","1996.49413591364"
"32768","1000","5.05","6483.81","4.24284091969333","2591.81390703111"
"65536","640","9.19","7128.85","8.0532553957044","3692.78241737803"
"131072","320","17.75","7385.33","16.5791017931703","5555.68117274036"
"262144","160","34.01","7707.14","36.3694856922921","8077.07321340448"
"524288","80","82.16","6381.25","81.2914036806509","9429.50724063515"
"1048576","40","167.17","6272.36","167.285676119091","5003.80722417989"
"2097152","20","331.56","6325.06","331.554049799402","6479.31265247799"
"4194304","10","657.71","6377.13","657.710097272065","6371.69661026914"
