"mpirun -np 2 --mca pml ucx --map-by core --report-bindings ./IMB-MPI1 PingPong","","","","",""
"ct1p1-tnode007","ct1p1-tnode008","","","",""
"0.502778914578933","13540.7645577791","","","",""
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec] (computed)","Mbytes/sec (computed)"
"0","1000","0.21","0","0.502778914578933","1327.80871733745"
"1","1000","0.21","4.83","0.502900401699038","1327.89281009886"
"2","1000","0.2","10","0.503021888245579","1327.9769026508"
"4","1000","0.19","21.16","0.503264859617981","1328.14508712625"
"8","1000","0.19","42.36","0.503750795480116","1328.4814535635"
"16","1000","0.19","84.48","0.504722639674162","1329.15417638342"
"32","1000","0.23","139.69","0.506666217944944","1330.49958180537"
"64","1000","0.23","278.48","0.510552934045982","1333.19023178156"
"128","1000","0.3","427.95","0.518324604715659","1338.57088829348"
"256","1000","0.33","774.63","0.533860901762849","1349.32962779844"
"512","1000","0.38","1337.19","0.564905333385186","1370.83681467674"
"1024","1000","0.5","2036.71","0.626881664268772","1413.81003545552"
"2048","1000","0.75","2744.45","0.750385136075987","1499.59198946105"
"4096","1000","1.12","3661.9","0.99560282401451","1670.49894164681"
"8192","1000","1.86","4406.6","1.47894102330743","2009.69296992261"
"16384","1000","2.95","5549.25","2.41770449543562","2677.66497402727"
"32768","1000","5","6552.7","4.18733833944438","3972.4503766083"
"65536","640","8.41","7794.46","7.32434647311227","6401.39941128149"
"131072","320","15.24","8602.11","12.2119277164916","10648.3967148373"
"262144","160","13.98","18758.04","18.0380668177409","16943.2403876493"
"524288","80","25.31","20716.52","23.9233457727519","22560.1266196553"
"1048576","40","55.2","18997.25","55.3796950829987","18384.0851007245"
"2097152","20","145.34","14429.04","145.330866692288","14499.3816294356"
"4194304","10","309.7","13543.19","309.700148470918","13540.7645577791"
