"mpirun -np 2 --map-by node --report-bindings ./IMB-MPI1 PingPong","","","","",""
"ct1p1-tnode007","ct1p1-tnode008","","","",""
"0.524669397684317","13780.5158265913","","","",""
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec] (computed)","Mbytes/sec (computed)"
"0","1000","0.21","0","0.524669397684317","1281.89790995272"
"1","1000","0.21","4.87","0.524790594142284","1281.98154924301"
"2","1000","0.22","9.29","0.524911790031446","1282.06518832717"
"4","1000","0.19","21.05","0.525154180103362","1282.23246587708"
"8","1000","0.19","42.07","0.525638953421622","1282.5670185033"
"16","1000","0.19","83.36","0.526608472756294","1283.23611386135"
"32","1000","0.22","142.88","0.528547402221769","1284.57426500039"
"64","1000","0.22","285.43","0.532424824365477","1287.25040897398"
"128","1000","0.31","417.89","0.540177921729775","1292.60206373282"
"256","1000","0.34","744.78","0.555677130572488","1303.30284073474"
"512","1000","0.4","1281.44","0.586647619164291","1324.69426657555"
"1024","1000","0.51","1994.04","0.648476995527999","1367.43662080367"
"2048","1000","0.77","2674.74","0.771690268696825","1452.75946100495"
"4096","1000","1.16","3525.17","1.01634227512276","1622.75864038199"
"8192","1000","1.95","4192.57","1.49860697196471","1960.17876333802"
"16384","1000","3.16","5187.81","2.43544692943329","2624.76809008982"
"32768","1000","4.98","6586.26","4.20206516848662","3913.43730079604"
"65536","640","8.51","7702.3","7.33588461216916","6332.66048718038"
"131072","320","15.03","8722.85","12.2248617966913","10569.5248557174"
"262144","160","14.13","18550.12","18.060244714404","16875.9354083502"
"524288","80","25.21","20800.48","23.8535039573577","22603.2159627547"
"1048576","40","54.22","19339.11","54.396466556836","18731.9287957055"
"2097152","20","144.73","14489.86","144.721015292107","14559.7756965041"
"4194304","10","304.31","13782.93","304.310146175012","13780.5158265913"
