"mpirun -np 2 --map-by socket ./IMB-MPI1 PingPong","","","","",""
"ct1p1-tnode007","ct1p1-tnode008","","","",""
"1.44355003650859","14128.2469009918","","","",""
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec] (computed)","Mbytes/sec (computed)"
"0","1000","0.39","0","1.44355003650859","56.2693028123152"
"1","1000","0.39","2.54","1.44388763560052","56.3523216398999"
"2","1000","0.4","5.05","1.44422523238839","56.4353402712067"
"4","1000","0.39","10.16","1.44490041905193","56.6013769449876"
"8","1000","0.39","20.26","1.4462507647305","56.933447937225"
"16","1000","0.4","40.49","1.4489513454954","57.597580500456"
"32","1000","0.55","58.21","1.45435206467071","58.9258079423749"
"64","1000","0.56","113.55","1.46515173371951","61.5821120914892"
"128","1000","0.89","143.6","1.48674399553846","66.894117478424"
"256","1000","0.94","272.44","1.5299002214899","77.5157168279068"
"512","1000","1.13","453.25","1.61609954206084","98.7492715955298"
"1024","1000","1.33","771.87","1.78804613299565","141.177819533328"
"2048","1000","2.1","975.65","2.13013491196402","225.880782015103"
"4096","1000","2.99","1367.86","2.80712519311485","394.671076932687"
"8192","1000","4.8","1708.14","4.1325985500676","729.796367803081"
"16384","1000","7.19","2277.52","6.67143925413036","1390.28341119095"
"32768","1000","13.01","2518.46","11.3158814808196","2672.66280865883"
"65536","640","24.05","2724.96","18.9901518526324","5086.68982406332"
"131072","320","44.64","2936.28","28.7776277550436","9340.53279626735"
"262144","160","13.17","19897.8","32.5244122736353","15773.7467891092"
"524288","80","23.11","22681.75","16.6751685251146","22003.5661384487"
"1048576","40","55.99","18728.7","56.814406309011","19323.8181645681"
"2097152","20","143.51","14613.3","143.468318925776","14532.1907243764"
"4194304","10","296.94","14125.28","296.940675844438","14128.2469009918"
