"mpirun -np 2 --mca pml ucx --map-by socket --report-bindings ./IMB-MPI1 PingPong","","","","",""
"ct1p1-tnode007","ct1p1-tnode008","","","",""
"1.45675139413566","14309.3623540688","","","",""
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec] (computed)","Mbytes/sec (computed)"
"0","1000","0.41","0","1.45675139413566","124.167277535212"
"1","1000","0.4","2.52","1.45711058165547","124.240008317715"
"2","1000","0.4","5.04","1.45746976676464","124.312738938436"
"4","1000","0.4","9.92","1.45818812975112","124.458199694528"
"8","1000","0.4","20.06","1.45962482679686","124.749119265324"
"16","1000","0.4","40.47","1.46249810518133","125.330950641411"
"32","1000","0.56","56.76","1.46824419913717","126.494582331896"
"64","1000","0.56","114.83","1.4797345359164","128.821721468856"
"128","1000","0.91","140.97","1.50270780590386","133.475502788631"
"256","1000","0.93","275.82","1.5486247392649","142.781077786792"
"512","1000","1.12","455.78","1.64034024088038","161.384278618955"
"1024","1000","1.33","771.44","1.82329827428085","198.558894836541"
"2048","1000","2.11","972.54","2.18732638341042","272.781075142641"
"4096","1000","3","1364.87","2.90786209433994","420.717944161466"
"8192","1000","4.8","1707.89","4.31910127695927","714.567445765242"
"16384","1000","7.43","2204.95","7.02423628345792","1294.21525565657"
"32768","1000","13.71","2390.43","11.9808149170913","2421.67072796383"
"65536","640","25.43","2577.29","20.2014459384287","4552.11579195901"
"131072","320","48.09","2725.31","30.7998906933599","8337.94331918648"
"262144","160","14.45","18144.75","35.260934460647","14186.0473036145"
"524288","80","25.56","20509.4","18.665630475551","20310.317005505"
"1048576","40","55.21","18990.94","56.0920064428589","19387.9730296632"
"2097152","20","144.91","14471.85","144.865436073131","14414.5743950893"
"4194304","10","293.16","14307.23","293.160722361106","14309.3623540688"
