"mpirun -np 2 ./IMB-MPI1 PingPong","","","","",""
"ct1p1-tnode007","ct1p1-tnode008","","","",""
"0.761043915076961","6440.10419511027","","","",""
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec] (computed)","Mbytes/sec (computed)"
"0","1000","0.42","0","0.761043915076961","1369.58442314507"
"1","1000","0.43","2.33","0.761148069489301","1369.62346102142"
"2","1000","0.43","4.63","0.761252224218507","1369.662498781"
"4","1000","0.43","9.34","0.761460534627517","1369.74057394987"
"8","1000","0.43","18.6","0.761877159247899","1369.89672288648"
"16","1000","0.43","36.97","0.762710423697899","1370.20901515517"
"32","1000","0.46","68.96","0.764377013433132","1370.83357727477"
"64","1000","0.47","137.56","0.767710436230907","1372.08261184515"
"128","1000","0.57","224.86","0.77437825502663","1374.58032232943"
"256","1000","0.62","415.68","0.787717784546372","1379.57430882217"
"512","1000","0.83","614.34","0.814412404321185","1389.55654510549"
"1024","1000","0.88","1164.04","0.867863831009875","1409.49808047097"
"2048","1000","1.07","1918.75","0.975014986855057","1449.28947923715"
"4096","1000","1.52","2699.15","1.19030694497934","1528.50620330914"
"8192","1000","1.99","4112.92","1.62482102370823","1685.48026767921"
"16384","1000","3.31","4944.96","2.50934379029546","1993.63005991132"
"32768","1000","5.07","6469.1","4.33858087322984","2587.04857578642"
"65536","640","9.25","7087.46","8.22386647552024","3684.83857260742"
"131072","320","17.84","7348.75","16.7954041704652","5543.71266007572"
"262144","160","34.24","7655.78","36.3750863694086","8065.12416866709"
"524288","80","81.17","6459.22","80.3818705543302","9440.5616273402"
"1048576","40","165.48","6336.61","165.585071671545","5090.6302068121"
"2097152","20","328.37","6386.49","328.364592671025","6538.18184267693"
"4194304","10","650.74","6445.45","650.74008841771","6440.10419511027"
